vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,base_msrp,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
1V2WNPE87P,King,Seattle,WA,98103.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,262058597,"{'type': 'Point', 'coordinates': [-122.35436, 47.67596]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900.0,3009.0,7.0,4.0
1C4RJXU6XR,King,Auburn,WA,98092.0,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,47.0,268752529,"{'type': 'Point', 'coordinates': [-122.1821, 47.3199]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031207.0,3009.0,8.0,46.0
7SAXCBE6XP,King,Redmond,WA,98052.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,261019055,"{'type': 'Point', 'coordinates': [-122.13158, 47.67858]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.0,3009.0,1.0,49.0
7SAYGDEEXP,King,Kirkland,WA,98033.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,227221011,"{'type': 'Point', 'coordinates': [-122.2066, 47.67887]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701.0,3009.0,1.0,47.0
KNAGV4LD4J,King,Bellevue,WA,98006.0,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,41.0,193995532,"{'type': 'Point', 'coordinates': [-122.12096, 47.55584]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901.0,3009.0,9.0,42.0
1G1RB6E48E,Clark,Brush Prairie,WA,98606.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,18.0,289232142,"{'type': 'Point', 'coordinates': [-122.54578, 45.73473]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040505.0,2977.0,3.0,24.0
WP0AD2Y12P,King,Seattle,WA,98112.0,2023,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43.0,225961725,"{'type': 'Point', 'coordinates': [-122.30207, 47.64085]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0,3009.0,7.0,4.0
7PDSGABL5P,King,Seattle,WA,98146.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34.0,228596021,"{'type': 'Point', 'coordinates': [-122.36178, 47.49408]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012100.0,3009.0,7.0,37.0
5YJ3E1EA6R,King,Bellevue,WA,98004.0,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,272470397,"{'type': 'Point', 'coordinates': [-122.1872, 47.61001]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023807.0,3009.0,9.0,42.0
5YJXCBE23G,King,Redmond,WA,98052.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,45.0,256613584,"{'type': 'Point', 'coordinates': [-122.13158, 47.67858]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.0,3009.0,1.0,49.0
